Issue_ID,Scenario,Prompt ID,Root Cause Node (LLM Resposne),Root Cause Node (Ground Truht),Result
ISSUE 0,HighTraffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 0,HighTraffic_Test,P-2,Servi-searc.us-west-2.elb.amazonaws.com_remote,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 1,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 1,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 2,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 2,HighTraffic_Test,P-2,,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 3,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 3,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 4,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 4,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 5,HighTraffic_Test,P-1,AWS::StepFunctions::StateMachine,petInfo_AWS::DynamoDB::Table,Incorrect
ISSUE 5,HighTraffic_Test,P-2,lambda_step_priceLessThan55_AWS::Lambda::Function,petInfo_AWS::DynamoDB::Table,Incorrect
ISSUE 6,HighTraffic_Test,P-1,,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 6,HighTraffic_Test,P-2,Servi-searc.us-west-2.elb.amazonaws.com_remote,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 7,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 7,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 8,HighTraffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 8,HighTraffic_Test,P-2,,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 9,HighTraffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 9,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 10,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 10,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 11,HighTraffic_Test,P-1,,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 11,HighTraffic_Test,P-2,invalid_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 12,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 12,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 13,HighTraffic_Test,P-1,,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 13,HighTraffic_Test,P-2,,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 14,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 14,HighTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 15,HighTraffic_Test,P-1,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 15,HighTraffic_Test,P-2,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 16,HighTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 16,HighTraffic_Test,P-2,Servi-searc.us-west-2.elb.amazonaws.com_remote,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 17,HighTraffic_Test,P-1,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 17,HighTraffic_Test,P-2,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 0,HighTraffic_Train,P-1,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,HighTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,HighTraffic_Train,P-1,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,HighTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 2,HighTraffic_Train,P-1,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 2,HighTraffic_Train,P-2,AWS::StepFunctions::StateMachine,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 3,HighTraffic_Train,P-1,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 3,HighTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table service,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 4,HighTraffic_Train,P-1,AWS::StepFunctions::StateMachine,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 4,HighTraffic_Train,P-2,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 5,HighTraffic_Train,P-1,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 5,HighTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 6,HighTraffic_Train,P-1,lambda_step_priceLessThan55_AWS::Lambda::Function,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 6,HighTraffic_Train,P-2,lambda_step_priceLessThan55,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 7,HighTraffic_Train,P-1,,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 7,HighTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 0,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 1,LowTraffic_Test,P-1,,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 1,LowTraffic_Test,P-2,AWS::StepFunctions::StateMachine,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 2,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 2,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 3,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 3,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 4,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 4,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 5,LowTraffic_Test,P-1,lambda_step_priceLessThan55,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 5,LowTraffic_Test,P-2,lambda_step_priceLessThan55_AWS::Lambda::Function,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 6,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 6,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petInfo_AWS::DynamoDB::Table,Correct
ISSUE 7,LowTraffic_Test,P-1,lambda_step_priceLessThan55,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 7,LowTraffic_Test,P-2,lambda_step_priceLessThan55_AWS::Lambda::Function,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 8,LowTraffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 8,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 9,LowTraffic_Test,P-1,,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 9,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 10,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 10,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 11,LowTraffic_Test,P-1,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 11,LowTraffic_Test,P-2,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 12,LowTraffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 12,LowTraffic_Test,P-2,,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 13,LowTraffic_Test,P-1,,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 13,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 14,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 14,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 15,LowTraffic_Test,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 15,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,Incorrect
ISSUE 16,LowTraffic_Test,P-1,,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 16,LowTraffic_Test,P-2,,payforadoption_AWS::ECS::Container,Incorrect
ISSUE 17,LowTraffic_Test,P-1,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 17,LowTraffic_Test,P-2,petInfo_AWS::DynamoDB::Table,petlistadoptions_AWS::ECS::Fargate,Incorrect
ISSUE 0,LowTraffic_Train,P-1,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 0,LowTraffic_Train,P-2,petInfo_AWS::DynamoDB::Table,PetSearch_AWS::ECS::Fargate,Incorrect
ISSUE 1,LowTraffic_Train,P-1,Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSearch_AWS::ECS::Fargate,Incorrect
