microservice,timestamp,availability_Average,latency_Average,latency_p50,latency_p90,latency_p95,latency_p99,requests_Sum
169.254.170.2_remote,2023-04-22 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.254.170.2_remote,2023-04-22 06:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.254.170.2_remote,2023-04-22 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.254.170.2_remote,2023-04-22 06:45:00,100.0,0.0005736351013183,0.0005736351013183,0.0005736351013183,0.0005736351013183,0.0005736351013183,1.0
169.254.170.2_remote,2023-04-22 06:50:00,100.0,0.0004707972208658,0.0005447986692227,0.0005639695231507,0.0005664128338109,0.0005683751015316,3.0
AWS::StepFunctions::StateMachine,2023-04-22 06:30:00,71.42857142857143,2.361785681692857,2.593742460100002,4.24174706405157,4.270277592053314,4.293240120584035,14.0
AWS::StepFunctions::StateMachine,2023-04-22 06:35:00,68.75,2.56481247786875,2.992374046230249,4.339576527255807,6.145832966099262,6.242576936635525,16.0
AWS::StepFunctions::StateMachine,2023-04-22 06:40:00,75.0,1.87275004185,0.7513148009015775,4.410967053502335,4.491743963321565,4.557429255726752,12.0
AWS::StepFunctions::StateMachine,2023-04-22 06:45:00,70.58823529411765,2.753941197317648,3.028237721411423,4.493913092056179,6.125777446736124,6.170714295283905,17.0
AWS::StepFunctions::StateMachine,2023-04-22 06:50:00,54.54545454545455,3.3270909310272727,3.620772595938601,4.413096660315227,4.459306417808074,4.496622363950703,11.0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,2023-04-22 06:30:00,100.0,0.0209644635483333,0.0196133481411821,0.027510328070332,0.0291293893620853,0.0363601345618395,24.0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,2023-04-22 06:35:00,100.0,0.0225714903561538,0.0200862983201635,0.0336062774352234,0.0380391583369029,0.0419687912125529,26.0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,2023-04-22 06:40:00,100.0,0.0211657683022222,0.0203270330904219,0.0306483768727732,0.0319914693692446,0.0334851122669833,27.0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,2023-04-22 06:45:00,100.0,0.0231513977011999,0.02317335614569,0.0319660701847684,0.0327408203950657,0.0332703871805731,25.0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,2023-04-22 06:50:00,100.0,0.022126269338,0.0207346863490294,0.0313376028688736,0.0326451294356392,0.0333664913066754,30.0
DynamoDB_AWS::DynamoDB,2023-04-22 06:30:00,100.0,0.0645075695771428,0.0608260862566422,0.0828459268812184,0.1134014334765736,0.1166896785237177,14.0
DynamoDB_AWS::DynamoDB,2023-04-22 06:35:00,100.0,0.076413348306875,0.0771918743332879,0.0833078131909829,0.2394590536966521,0.2396735935979669,16.0
DynamoDB_AWS::DynamoDB,2023-04-22 06:40:00,100.0,0.082715968285,0.0774990326412297,0.0836393077577244,0.2256665623749937,0.2357042558685093,12.0
DynamoDB_AWS::DynamoDB,2023-04-22 06:45:00,100.0,0.064766466613125,0.0615550883687941,0.0778732156357516,0.0781668776292326,0.078402604357039,16.0
DynamoDB_AWS::DynamoDB,2023-04-22 06:50:00,100.0,0.0849140340509091,0.0770081640029604,0.0837456643553353,0.2262170682297875,0.234941741329846,11.0
Evidently_AWS::Evidently,2023-04-22 06:30:00,100.0,0.2905788421,0.2828439682274405,0.3550635665036021,0.3573706935926942,0.3592271842745032,5.0
Evidently_AWS::Evidently,2023-04-22 06:35:00,100.0,0.2593229611,0.25785731692753,0.2695734743348627,0.2709302259314805,0.2720205420613938,6.0
Evidently_AWS::Evidently,2023-04-22 06:40:00,100.0,0.2969595590333333,0.2850116306581566,0.3313109169105228,0.334093059703807,0.3363355856912638,3.0
Evidently_AWS::Evidently,2023-04-22 06:45:00,100.0,0.2598870140571429,0.2591812779541405,0.2765057008493836,0.2785674910604423,0.280227986967496,7.0
Evidently_AWS::Evidently,2023-04-22 06:50:00,100.0,0.25300207134,0.2451646748169395,0.2934458742951109,0.2953550939085099,0.2968914094077092,5.0
PGSQL Query_remote,2023-04-22 06:30:00,100.0,0.0152618988659999,0.0144697282300688,0.0198484145921282,0.0222269379188372,0.0289909032357266,115.0
PGSQL Query_remote,2023-04-22 06:35:00,100.0,0.0170794140163636,0.0155782767460777,0.0217467225068949,0.0240738755058556,0.0387712172409355,110.0
PGSQL Query_remote,2023-04-22 06:40:00,100.0,0.0155464302367272,0.0147944347571768,0.0196653433767982,0.021833256051341,0.0264812630564411,110.0
PGSQL Query_remote,2023-04-22 06:45:00,100.0,0.0165416995645833,0.0154423428652381,0.0210666874051728,0.0235444048601604,0.0317383830458507,120.0
PGSQL Query_remote,2023-04-22 06:50:00,100.0,0.0166884493363157,0.0159697736208455,0.0205286832465762,0.0227358083225884,0.0274264937216319,114.0
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,2023-04-22 06:30:00,100.0,0.0513652138006956,0.0497728793286184,0.0731624433710494,0.0844067597574347,0.0942666158999282,115.0
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,2023-04-22 06:35:00,100.0,0.0538272792553636,0.049674146924046,0.0730436797731479,0.0880007813989099,0.1222619426896909,110.0
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,2023-04-22 06:40:00,100.0,0.0541636336840909,0.0473624407447669,0.0812816711587491,0.1031512124454768,0.13448813695866,110.0
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,2023-04-22 06:45:00,100.0,0.0543916662408333,0.051114983279173,0.08390545288824,0.0996086419823386,0.1156977324099155,120.0
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,2023-04-22 06:50:00,100.0,0.0510175416261403,0.0485045239151666,0.0750159788966731,0.0929581179746648,0.1212176752155835,114.0
PetSearch_AWS::ECS::Fargate,2023-04-22 06:30:00,100.0,0.0058516546090577,0.0044447587975083,0.0081999021136906,0.0123223462852951,0.0386728012495528,938.0
PetSearch_AWS::ECS::Fargate,2023-04-22 06:35:00,99.54545454545456,0.0064717460750109,0.0044845098757897,0.0100168992776042,0.0160811453180523,0.0414461615735004,880.0
PetSearch_AWS::ECS::Fargate,2023-04-22 06:40:00,92.6052332195677,0.0117921614917213,0.0045035206669818,0.0159033211772166,0.0374099544297088,0.1851198349562877,879.0
PetSearch_AWS::ECS::Fargate,2023-04-22 06:45:00,94.8051948051948,0.0112175079225383,0.0045229026218057,0.0113298821449297,0.0264025074634591,0.1439496984687303,1001.0
PetSearch_AWS::ECS::Fargate,2023-04-22 06:50:00,100.0,0.0061843134896256,0.0044747356246001,0.008493217006134,0.0136919977870122,0.0568551820950312,925.0
PetSearch_client,2023-04-22 06:30:00,100.0,0.0028919073238582,0.0002890183510948,0.0116670646152735,0.0121590160951353,0.0141172102008982,52.0
PetSearch_client,2023-04-22 06:35:00,98.07692307692308,0.0075423900890168,0.0002867319105744,0.0118350611412457,0.0142523422226432,0.227552414460034,52.0
PetSearch_client,2023-04-22 06:40:00,79.24528301886792,0.0297871760477259,0.0002915334488342,0.13416806622221,0.1456055340955151,0.1916231436356864,53.0
